"ci" "10754341" "2" "Friday, July 16, 2010 23:20:32 UTC" 32.8412 -116.8497 1.8 18.5 38.0 "Southern California"
"ci" "10754333" "2" "Friday, July 16, 2010 22:58:27 UTC" 32.807 -116.185 1.8 11.1 56.0 "Southern California"
"nn" "00313829" "7" "Friday, July 16, 2010 22:58:11 UTC" 39.1269 -119.6203 2.3 9.6 24.0 "Nevada"
"nc" "71426505" "0" "Friday, July 16, 2010 22:48:20 UTC" 38.7457 -122.7062 1.0 1.9 11.0 "Northern California"
"ci" "10754325" "2" "Friday, July 16, 2010 22:43:51 UTC" 32.9145 -115.9232 1.7 28.3 17.0 "Southern California"
"nc" "71426500" "1" "Friday, July 16, 2010 22:32:59 UTC" 38.787 -122.736 1.6 1.7 21.0 "Northern California"
"ak" "10060617" "1" "Friday, July 16, 2010 22:30:11 UTC" 62.2797 -149.6663 1.8 21.0 10.0 "Central Alaska"
"ci" "10754293" "2" "Friday, July 16, 2010 22:24:36 UTC" 33.4607 -116.4175 1.0 17.8 25.0 "Southern California"
"ci" "10754285" "2" "Friday, July 16, 2010 22:19:35 UTC" 32.6697 -115.936 2.7 3.0 63.0 "Southern California"
"ci" "10754277" "2" "Friday, July 16, 2010 22:12:06 UTC" 33.0515 -116.401 1.3 6.9 32.0 "Southern California"
"ci" "10754261" "2" "Friday, July 16, 2010 22:02:14 UTC" 33.2683 -116.3213 1.2 17.4 20.0 "Southern California"
"ci" "10754245" "2" "Friday, July 16, 2010 22:00:23 UTC" 32.7388 -115.9878 1.6 5.6 25.0 "Southern California"
"ci" "10754237" "2" "Friday, July 16, 2010 21:42:34 UTC" 32.7292 -115.9855 1.9 5.2 35.0 "Southern California"
"ci" "10754221" "2" "Friday, July 16, 2010 21:37:01 UTC" 33.3618 -115.7395 1.4 5.8 24.0 "Southern California"
"ci" "10754213" "2" "Friday, July 16, 2010 21:25:52 UTC" 33.2433 -116.7785 2.6 7.0 125.0 "Southern California"
"ci" "10754205" "2" "Friday, July 16, 2010 21:21:02 UTC" 33.0742 -114.9768 1.3 0.0 7.0 "Southern California"
"ci" "10754197" "2" "Friday, July 16, 2010 21:01:03 UTC" 32.62 -115.7177 1.1 8.4 16.0 "Baja California, Mexico"
"ci" "10754181" "2" "Friday, July 16, 2010 20:56:50 UTC" 33.3817 -116.88 1.3 10.0 28.0 "Southern California"
"hv" "60165691" "1" "Friday, July 16, 2010 20:55:00 UTC" 19.2143 -155.501 2.1 10.1 20.0 "Island of Hawaii, Hawaii"
"ci" "10754173" "2" "Friday, July 16, 2010 20:23:14 UTC" 32.615 -115.8033 1.6 7.8 18.0 "Baja California, Mexico"
"ci" "10754165" "2" "Friday, July 16, 2010 20:05:59 UTC" 34.3287 -116.8812 1.6 2.0 20.0 "Southern California"
"ci" "10754157" "2" "Friday, July 16, 2010 19:59:55 UTC" 33.3243 -116.793 1.4 14.7 66.0 "Southern California"
"ci" "10754149" "2" "Friday, July 16, 2010 19:56:39 UTC" 33.4512 -116.4167 1.4 8.9 65.0 "Southern California"
"ci" "10754141" "2" "Friday, July 16, 2010 19:51:04 UTC" 33.4723 -116.4757 1.0 10.4 36.0 "Southern California"
"ci" "10754125" "2" "Friday, July 16, 2010 19:46:23 UTC" 33.6565 -116.7182 1.0 14.7 33.0 "Southern California"
"ci" "10754117" "2" "Friday, July 16, 2010 19:38:16 UTC" 32.5978 -116.9755 1.4 4.3 18.0 "San Diego County urban area, California"
"ci" "10754101" "2" "Friday, July 16, 2010 19:32:01 UTC" 32.6605 -115.9443 1.5 8.3 22.0 "Southern California"
"ci" "10754109" "2" "Friday, July 16, 2010 19:30:49 UTC" 32.6185 -115.719 1.3 8.2 17.0 "Baja California, Mexico"
"nc" "71426405" "0" "Friday, July 16, 2010 19:30:12 UTC" 38.8493 -122.8237 1.2 0.5 12.0 "Northern California"
"nc" "71426400" "0" "Friday, July 16, 2010 19:29:18 UTC" 38.8475 -122.8247 1.0 1.4 13.0 "Northern California"
"ci" "10754093" "2" "Friday, July 16, 2010 19:26:15 UTC" 33.4825 -116.5392 1.1 9.1 33.0 "Southern California"
"ci" "10754085" "2" "Friday, July 16, 2010 19:21:31 UTC" 33.4523 -116.431 1.8 15.0 56.0 "Southern California"
"ci" "10754077" "2" "Friday, July 16, 2010 19:21:17 UTC" 33.3975 -116.9887 1.9 22.3 49.0 "Southern California"
"ci" "10754069" "2" "Friday, July 16, 2010 19:15:49 UTC" 33.8655 -117.5133 1.9 0.0 34.0 "Greater Los Angeles area, California"
"ak" "10060564" "1" "Friday, July 16, 2010 19:14:50 UTC" 61.4353 -151.1375 2.0 72.8 10.0 "Southern Alaska"
"ci" "10754061" "2" "Friday, July 16, 2010 19:14:08 UTC" 35.5122 -118.3827 1.5 10.4 14.0 "Central California"
"ci" "34645759" "4" "Friday, July 16, 2010 19:02:10 UTC" 32.1905 -115.3275 1.9 5.7 11.0 "Baja California, Mexico"
"ak" "10060562" "1" "Friday, July 16, 2010 19:01:52 UTC" 63.0386 -147.9047 1.3 4.1 10.0 "Central Alaska"
"ci" "10754045" "2" "Friday, July 16, 2010 18:57:02 UTC" 35.0533 -118.3287 1.6 0.0 15.0 "Southern California"
"us" "2010yubx" "6" "Friday, July 16, 2010 18:53:11 UTC" 39.3532 24.013 4.7 17.8 33.0 "Aegean Sea"
"us" "2010yucg" "6" "Friday, July 16, 2010 18:47:39 UTC" 9.457 126.2681 4.6 90.7 24.0 "Mindanao, Philippines"
"us" "2010yucj" "6" "Friday, July 16, 2010 18:47:26 UTC" -25.285 179.3629 4.7 525.2 26.0 "south of the Fiji Islands"
"ci" "10754037" "2" "Friday, July 16, 2010 18:45:26 UTC" 34.0083 -117.1995 1.4 8.0 30.0 "Greater Los Angeles area, California"
"ci" "10754029" "2" "Friday, July 16, 2010 18:43:12 UTC" 32.5612 -115.7113 1.6 10.6 14.0 "Baja California, Mexico"
"ci" "10754013" "2" "Friday, July 16, 2010 18:27:55 UTC" 33.4163 -116.471 1.7 13.2 86.0 "Southern California"
"ci" "10754005" "4" "Friday, July 16, 2010 18:14:17 UTC" 32.7285 -115.967 1.5 4.5 25.0 "Southern California"
"ci" "10753997" "2" "Friday, July 16, 2010 17:58:53 UTC" 34.125 -117.4472 2.2 7.5 89.0 "Greater Los Angeles area, California"
"ci" "10753989" "2" "Friday, July 16, 2010 17:36:00 UTC" 32.3067 -115.3077 1.9 7.0 11.0 "Baja California, Mexico"
"nm" "1049" "C" "Friday, July 16, 2010 17:26:20 UTC" 36.4933 -89.5612 2.5 9.4 37.0 "southeastern Missouri"
"ci" "34669759" "2" "Friday, July 16, 2010 16:48:59 UTC" 32.3373 -115.3172 1.8 6.0 15.0 "Baja California, Mexico"
"ci" "10753973" "4" "Friday, July 16, 2010 16:47:57 UTC" 32.9993 -115.5785 1.6 11.9 27.0 "Southern California"
"ak" "10060545" "1" "Friday, July 16, 2010 16:36:19 UTC" 61.4554 -147.4911 1.8 14.6 16.0 "Southern Alaska"
"ci" "10753957" "2" "Friday, July 16, 2010 16:26:53 UTC" 33.4895 -115.6625 1.8 35.8 13.0 "Southern California"
"nc" "71426335" "0" "Friday, July 16, 2010 16:07:54 UTC" 35.6363 -120.917 1.5 6.3 15.0 "Central California"
"ci" "10753941" "2" "Friday, July 16, 2010 16:03:07 UTC" 33.8405 -117.5103 1.7 0.1 27.0 "Greater Los Angeles area, California"
"ci" "10753933" "5" "Friday, July 16, 2010 15:29:59 UTC" 32.5618 -115.7088 3.1 7.7 29.0 "Baja California, Mexico"
"ci" "10753925" "4" "Friday, July 16, 2010 15:14:51 UTC" 32.627 -115.7357 1.4 5.0 10.0 "Baja California, Mexico"
"ci" "10753901" "2" "Friday, July 16, 2010 14:28:20 UTC" 32.2135 -115.2643 2.2 7.0 11.0 "Baja California, Mexico"
"nc" "71426285" "0" "Friday, July 16, 2010 14:08:22 UTC" 39.7483 -122.0543 1.8 21.3 7.0 "Northern California"
"se" "hnw0716b" "A" "Friday, July 16, 2010 13:50:53 UTC" 35.0666 -82.8833 1.3 1.7 7.0 "North Carolina"
"nc" "71426275" "0" "Friday, July 16, 2010 13:47:25 UTC" 36.7718 -121.455 1.0 3.6 9.0 "Central California"
"ci" "10753893" "2" "Friday, July 16, 2010 13:34:35 UTC" 32.337 -115.3475 1.7 7.1 15.0 "Baja California, Mexico"
"ci" "10753877" "2" "Friday, July 16, 2010 12:58:55 UTC" 33.8685 -116.823 1.3 16.3 65.0 "Southern California"
"pr" "10197000" "0" "Friday, July 16, 2010 12:53:33 UTC" 18.5909 -68.9919 3.4 120.2 12.0 "Dominican Republic"
"ci" "10753861" "2" "Friday, July 16, 2010 12:49:23 UTC" 33.4873 -116.4145 1.0 5.9 36.0 "Southern California"
"nc" "71426255" "0" "Friday, July 16, 2010 12:43:54 UTC" 38.8023 -122.7418 1.3 1.9 19.0 "Northern California"
"ci" "10753813" "2" "Friday, July 16, 2010 12:05:30 UTC" 32.1108 -115.2508 2.9 5.5 14.0 "Baja California, Mexico"
"ak" "10060540" "1" "Friday, July 16, 2010 11:47:23 UTC" 63.0986 -149.2182 1.6 81.4 15.0 "Central Alaska"
"ci" "10753789" "2" "Friday, July 16, 2010 11:39:07 UTC" 34.2977 -117.1273 1.1 7.5 40.0 "Southern California"
"ci" "10753781" "2" "Friday, July 16, 2010 11:35:38 UTC" 33.021 -115.545 1.3 4.6 28.0 "Southern California"
"uw" "07161133" "1" "Friday, July 16, 2010 11:33:47 UTC" 45.6046 -122.827 1.3 18.5 20.0 "Portland urban area, Oregon"
"ci" "10753765" "2" "Friday, July 16, 2010 11:17:47 UTC" 33.4575 -116.5933 1.6 11.6 75.0 "Southern California"
"ci" "10753757" "2" "Friday, July 16, 2010 11:07:56 UTC" 32.2303 -115.2832 2.1 7.0 11.0 "Baja California, Mexico"
"ci" "10753741" "4" "Friday, July 16, 2010 11:03:46 UTC" 32.7108 -115.953 1.4 3.9 17.0 "Southern California"
"ak" "10060537" "1" "Friday, July 16, 2010 11:03:36 UTC" 65.8565 -149.9079 2.1 12.3 9.0 "northern Alaska"
"nc" "71426230" "0" "Friday, July 16, 2010 11:02:31 UTC" 38.8137 -122.818 1.1 2.2 19.0 "Northern California"
"ak" "10060535" "1" "Friday, July 16, 2010 11:00:30 UTC" 60.8226 -146.8099 1.9 20.1 14.0 "Southern Alaska"
"uw" "07161057" "1" "Friday, July 16, 2010 10:57:28 UTC" 47.5461 -121.8668 1.4 23.3 24.0 "Washington"
"nc" "71426215" "3" "Friday, July 16, 2010 10:47:22 UTC" 36.478 -121.0572 2.2 7.8 59.0 "Central California"
"nm" "hnw0716a" "A" "Friday, July 16, 2010 10:38:13 UTC" 35.3546 -92.2688 2.3 0.1 7.0 "Arkansas"
"ci" "10753725" "2" "Friday, July 16, 2010 10:28:50 UTC" 32.3052 -115.3777 1.4 7.5 14.0 "Baja California, Mexico"
"uu" "07161015" "2" "Friday, July 16, 2010 10:15:41 UTC" 41.5618 -111.6968 1.6 9.5 25.0 "Utah"
"ci" "10753709" "4" "Friday, July 16, 2010 10:12:38 UTC" 32.6613 -115.913 1.0 8.5 14.0 "Southern California"
"ci" "10753701" "2" "Friday, July 16, 2010 09:59:20 UTC" 34.1203 -117.4498 1.3 7.1 44.0 "Greater Los Angeles area, California"
"ak" "10060533" "1" "Friday, July 16, 2010 09:53:31 UTC" 60.9468 -150.8889 1.7 13.8 13.0 "Kenai Peninsula, Alaska"
"ci" "10753693" "4" "Friday, July 16, 2010 09:48:14 UTC" 32.9118 -116.3487 1.5 10.5 56.0 "Southern California"
"ci" "10753685" "2" "Friday, July 16, 2010 09:33:35 UTC" 33.4262 -116.4652 1.2 13.5 48.0 "Southern California"
"ld" "1026767" "1" "Friday, July 16, 2010 09:16:07 UTC" 39.2137 -77.3475 2.0 7.0 8.0 "Potomac-Shenandoah region"
"ak" "10060530" "1" "Friday, July 16, 2010 09:12:41 UTC" 63.1256 -150.563 2.1 125.0 23.0 "Central Alaska"
"us" "2010yua6" "6" "Friday, July 16, 2010 09:04:47 UTC" 39.1668 -77.2517 3.6 5.0 15.0 "Potomac-Shenandoah region"
"ci" "10753677" "2" "Friday, July 16, 2010 08:58:44 UTC" 33.4625 -116.4842 1.2 13.0 47.0 "Southern California"
"ci" "10753653" "2" "Friday, July 16, 2010 08:43:04 UTC" 34.979 -119.1465 1.1 13.4 13.0 "Central California"
"nc" "71426210" "0" "Friday, July 16, 2010 08:37:28 UTC" 37.9817 -122.0575 1.5 16.0 14.0 "San Francisco Bay area, California"
"nc" "71426200" "1" "Friday, July 16, 2010 08:28:15 UTC" 38.8183 -122.8073 1.9 3.5 35.0 "Northern California"
"ci" "10753645" "2" "Friday, July 16, 2010 08:26:05 UTC" 36.3895 -117.8637 1.9 4.5 37.0 "Central California"
"ak" "10060524" "1" "Friday, July 16, 2010 08:23:40 UTC" 64.9206 -148.9904 1.8 13.5 12.0 "Central Alaska"
"us" "2010yua4" "6" "Friday, July 16, 2010 08:11:02 UTC" 36.9039 26.9565 5.4 159.4 114.0 "Dodecanese Islands, Greece"
"ak" "10060521" "1" "Friday, July 16, 2010 08:04:33 UTC" 60.6615 -147.1965 1.5 24.3 8.0 "Southern Alaska"
"nc" "71426175" "0" "Friday, July 16, 2010 07:41:12 UTC" 38.846 -122.8095 1.0 1.5 11.0 "Northern California"
"ci" "10753629" "2" "Friday, July 16, 2010 07:34:43 UTC" 32.2652 -115.341 1.7 5.9 12.0 "Baja California, Mexico"
"ci" "10753621" "2" "Friday, July 16, 2010 07:33:35 UTC" 33.8895 -116.6245 1.5 30.0 20.0 "Southern California"
"nc" "71426160" "0" "Friday, July 16, 2010 07:30:57 UTC" 37.9803 -122.056 1.6 16.2 16.0 "San Francisco Bay area, California"
"nc" "71426150" "0" "Friday, July 16, 2010 07:08:41 UTC" 38.8295 -122.8062 1.0 2.1 9.0 "Northern California"
"ci" "10753605" "4" "Friday, July 16, 2010 07:02:21 UTC" 34.0223 -118.196 1.5 17.4 41.0 "Greater Los Angeles area, California"
"ci" "10753597" "4" "Friday, July 16, 2010 07:00:16 UTC" 32.6943 -115.9155 1.7 4.8 27.0 "Southern California"
"nc" "71426145" "5" "Friday, July 16, 2010 06:59:42 UTC" 38.8267 -122.8065 2.7 2.6 79.0 "Northern California"
"uu" "07160650" "2" "Friday, July 16, 2010 06:50:35 UTC" 41.0787 -111.627 1.4 8.5 28.0 "Utah"
"ci" "10753589" "2" "Friday, July 16, 2010 06:43:15 UTC" 36.4002 -117.8538 1.0 5.7 21.0 "Central California"
"ci" "34637759" "2" "Friday, July 16, 2010 06:43:15 UTC" 32.1758 -115.4108 2.0 7.0 6.0 "Baja California, Mexico"
"ci" "10753581" "2" "Friday, July 16, 2010 06:28:32 UTC" 34.0035 -117.1948 1.3 6.0 37.0 "Greater Los Angeles area, California"
"nc" "71426120" "0" "Friday, July 16, 2010 06:16:18 UTC" 38.815 -122.8105 1.1 2.1 15.0 "Northern California"
"ci" "10753565" "4" "Friday, July 16, 2010 06:08:48 UTC" 33.0643 -116.4785 1.8 10.1 76.0 "Southern California"
"us" "2010yua1" "6" "Friday, July 16, 2010 05:58:25 UTC" -8.2028 118.6578 5.0 35.0 36.0 "Sumbawa region, Indonesia"
"nc" "71426115" "1" "Friday, July 16, 2010 05:51:25 UTC" 38.8288 -122.7773 2.3 0.5 37.0 "Northern California"
"us" "2010yuaz" "7" "Friday, July 16, 2010 05:45:51 UTC" -8.2525 118.6383 5.0 29.9 33.0 "Sumbawa region, Indonesia"
"ci" "10753549" "2" "Friday, July 16, 2010 05:42:29 UTC" 33.4137 -116.449 1.4 12.9 65.0 "Southern California"
"nc" "71426105" "3" "Friday, July 16, 2010 05:39:43 UTC" 37.9838 -122.048 1.9 17.0 48.0 "San Francisco Bay area, California"
"ci" "10753541" "2" "Friday, July 16, 2010 05:12:44 UTC" 34.085 -116.738 1.5 2.7 16.0 "Southern California"
"us" "2010yuax" "7" "Friday, July 16, 2010 05:09:17 UTC" 51.3806 179.6071 4.5 63.1 52.0 "Rat Islands, Aleutian Islands, Alaska"
"ci" "10753533" "4" "Friday, July 16, 2010 05:02:39 UTC" 32.6082 -115.777 1.7 5.3 20.0 "Baja California, Mexico"
"nc" "71426100" "0" "Friday, July 16, 2010 04:59:25 UTC" 38.8237 -122.796 1.0 2.8 19.0 "Northern California"
"ci" "10753525" "4" "Friday, July 16, 2010 04:52:07 UTC" 32.6818 -115.8723 1.6 6.1 22.0 "Southern California"
"ci" "10753517" "4" "Friday, July 16, 2010 04:40:40 UTC" 32.704 -115.9333 1.7 3.8 27.0 "Southern California"
"ci" "10753509" "4" "Friday, July 16, 2010 04:39:31 UTC" 32.9963 -116.3407 1.0 10.6 32.0 "Southern California"
"us" "2010yuau" "7" "Friday, July 16, 2010 04:37:27 UTC" 53.6359 -158.6487 4.4 10.0 40.0 "south of Alaska"
"ci" "10753501" "4" "Friday, July 16, 2010 04:30:37 UTC" 32.7032 -115.9347 1.6 4.0 24.0 "Southern California"
"hv" "60165596" "1" "Friday, July 16, 2010 04:30:28 UTC" 19.1953 -155.489 1.8 34.8 19.0 "Island of Hawaii, Hawaii"
"ci" "10753477" "4" "Friday, July 16, 2010 04:03:11 UTC" 32.7055 -115.9323 1.5 3.9 22.0 "Southern California"
"ci" "10753469" "2" "Friday, July 16, 2010 03:47:29 UTC" 32.2063 -115.3205 2.0 7.1 11.0 "Baja California, Mexico"
"ci" "10753445" "2" "Friday, July 16, 2010 03:34:02 UTC" 35.9502 -117.3337 1.7 5.2 20.0 "Central California"
"ci" "10753413" "2" "Friday, July 16, 2010 03:12:45 UTC" 32.1837 -115.223 1.6 6.0 11.0 "Baja California, Mexico"
"pr" "10197001" "0" "Friday, July 16, 2010 03:09:31 UTC" 18.0909 -67.911 3.0 130.8 4.0 "Isla de Mona, Puerto Rico"
"us" "2010yuas" "7" "Friday, July 16, 2010 03:05:44 UTC" 1.3927 126.6072 4.7 56.9 31.0 "Molucca Sea"
"us" "2010yuar" "Q" "Friday, July 16, 2010 03:04:19 UTC" 18.6951 -108.5544 4.1 10.0 38.0 "Revilla Gigedo Islands region"
"nn" "00313797" "7" "Friday, July 16, 2010 03:00:47 UTC" 37.3821 -117.11 2.0 6.0 18.0 "Nevada"
"ci" "10753389" "4" "Friday, July 16, 2010 03:00:03 UTC" 33.3642 -116.3575 1.1 10.6 31.0 "Southern California"
"nn" "00313795" "7" "Friday, July 16, 2010 02:47:52 UTC" 37.3671 -117.1335 1.2 9.7 12.0 "Nevada"
"ci" "10753349" "4" "Friday, July 16, 2010 02:31:53 UTC" 32.6413 -115.7308 1.4 6.4 16.0 "Baja California, Mexico"
"us" "2010yuak" "7" "Friday, July 16, 2010 02:25:23 UTC" -21.2751 -68.0012 5.1 115.4 152.0 "Potosi, Bolivia"
"ci" "10753317" "4" "Friday, July 16, 2010 02:02:02 UTC" 32.9172 -116.2427 1.4 8.6 21.0 "Southern California"
"ci" "10753325" "6" "Friday, July 16, 2010 01:59:00 UTC" 31.3602 -116.7887 2.5 6.0 6.0 "offshore Baja California, Mexico"
"nc" "71426005" "2" "Friday, July 16, 2010 01:37:55 UTC" 37.5053 -119.3725 1.2 7.4 7.0 "Central California"
"ci" "10753285" "4" "Friday, July 16, 2010 01:30:00 UTC" 32.6763 -115.914 1.5 9.2 17.0 "Southern California"
