ak	10059752	3	"Saturday, July 10, 2010 19:15:56 UTC"	53.5554	-164.8315	2.9	24.8	20	"Unimak Island region, Alaska"
ak	10059750	3	"Saturday, July 10, 2010 19:13:57 UTC"	60.1421	-147.2916	2.3	7.8	19	Southern Alaska
us	2010ynbi	6	"Saturday, July 10, 2010 18:58:25 UTC"	53.5244	-164.9179	4.7	35	41	"Unimak Island region, Alaska"
ci	10746717	2	"Saturday, July 10, 2010 18:40:44 UTC"	33.4733	-116.4413	1.2	9.2	19	Southern California
ci	10746709	4	"Saturday, July 10, 2010 18:39:52 UTC"	32.6787	-115.9233	1.1	6.7	21	Southern California
ak	10059744	2	"Saturday, July 10, 2010 18:35:00 UTC"	62.5692	-149.4212	2.1	65.1	30	Central Alaska
ci	10746701	2	"Saturday, July 10, 2010 18:34:59 UTC"	33.4813	-116.4535	1.2	9.5	22	Southern California
ci	10746693	2	"Saturday, July 10, 2010 18:27:40 UTC"	33.8758	-116.8658	1.8	14.3	82	Southern California
ci	10746685	4	"Saturday, July 10, 2010 18:25:43 UTC"	34.5298	-116.2265	1.1	13.7	15	Southern California
nc	71422785	3	"Saturday, July 10, 2010 17:48:12 UTC"	38.818	-122.8023	1	3.2	39	Northern California
ci	10746629	2	"Saturday, July 10, 2010 17:41:13 UTC"	33.4958	-116.3852	1	15.3	25	Southern California
hv	60164011	1	"Saturday, July 10, 2010 17:38:28 UTC"	19.14	-155.5628	2.2	32.7	31	"Island of Hawaii, Hawaii"
nc	71422775	4	"Saturday, July 10, 2010 17:30:19 UTC"	36.11	-120.2012	1.7	7.6	39	Central California
nc	71422760	2	"Saturday, July 10, 2010 17:16:26 UTC"	36.107	-120.1978	1.7	8.4	39	Central California
ci	10746613	2	"Saturday, July 10, 2010 17:11:12 UTC"	33.4808	-116.5062	1.1	14	44	Southern California
ci	10746605	4	"Saturday, July 10, 2010 17:06:20 UTC"	33.9878	-116.9673	1.5	11.8	28	Southern California
nc	71422750	2	"Saturday, July 10, 2010 17:00:31 UTC"	36.9608	-121.5975	1.5	5.1	40	Northern California
ak	10060105	2	"Saturday, July 10, 2010 16:43:10 UTC"	59.1958	-152.0998	1.9	59.5	11	Southern Alaska
ci	10746589	4	"Saturday, July 10, 2010 16:32:42 UTC"	33.33	-116.8313	1	12.6	42	Southern California
nc	71422730	2	"Saturday, July 10, 2010 16:27:55 UTC"	38.7862	-122.7467	1	2.9	48	Northern California
ci	10746557	2	"Saturday, July 10, 2010 16:25:15 UTC"	33.4857	-116.5187	1.1	13	39	Southern California
nc	71422720	4	"Saturday, July 10, 2010 16:17:26 UTC"	39.4343	-123.0943	1.5	1.7	12	Northern California
