1962-01-10,8.550
1962-01-11,10.500
1962-01-12,10.800
1962-01-13,7.020
1962-01-14,5.320
1962-01-15,4.980
1962-01-16,7.190
1962-01-17,5.580
1962-01-18,4.900
1962-01-19,8.920
1962-01-20,6.430
1962-01-21,17.800
1962-01-22,11.800
1962-01-23,9.910
1962-01-24,11.900
1962-01-25,9.200
1962-01-26,7.250
1962-01-27,6.540
1962-01-28,5.860
1962-01-29,5.040
1962-01-30,4.560
1962-01-31,4.960
1962-02-01,4.960
1962-02-02,4.300
1962-02-03,4.020
1962-02-04,4.280
1962-02-05,4.670
1962-02-06,4.160
1962-02-07,4.420
1962-02-08,3.820
1962-02-09,3.540
1962-02-10,3.260
1962-02-11,2.970
1962-02-12,2.860
1962-02-13,2.750
1962-02-14,2.490
1962-02-15,2.350
1962-02-16,2.260
1962-02-17,2.100
1962-02-18,1.950
1962-02-19,1.930
1962-02-20,1.840
1962-02-21,1.670
1962-02-22,1.700
1962-02-23,1.610
1962-02-24,1.590
1962-02-25,1.560
1962-02-26,1.470
1962-02-27,1.420
1962-02-28,1.420
1962-03-01,1.390
1962-03-02,1.360
1962-03-03,1.270
1962-03-04,1.270
1962-03-05,1.190
1962-03-06,1.160
1962-03-07,1.130
1962-03-08,1.130
1962-03-09,1.130
1962-03-10,1.190
1962-03-11,1.220
1962-03-12,1.100
1962-03-13,1.050
1962-03-14,1.020
1962-03-15,0.991
1962-03-16,0.991
1962-03-17,0.963
1962-03-18,0.934
1962-03-19,0.906
1962-03-20,0.906
1962-03-21,0.878
1962-03-22,0.878
1962-03-23,0.849
1962-03-24,0.849
1962-03-25,0.849
1962-03-26,0.934
1962-03-27,0.849
1962-03-28,1.050
1962-03-29,1.930
1962-03-30,1.870
1962-03-31,1.470
1962-04-01,1.300
1962-04-02,1.670
1962-04-03,3.400
1962-04-04,3.710
1962-04-05,3.170
1962-04-06,2.410
1962-04-07,2.490
1962-04-08,3.680
1962-04-09,2.860
1962-04-10,2.520
1962-04-11,2.410
1962-04-12,2.180
1962-04-13,1.980
1962-04-14,1.840
1962-04-15,1.760
1962-04-16,1.730
1962-04-17,1.670
1962-04-18,1.590
1962-04-19,1.560
1962-04-20,1.610
1962-04-21,1.700
1962-04-22,1.530
1962-04-23,1.300
1962-04-24,1.470
1962-04-25,1.220
1962-04-26,1.300
1962-04-27,1.220
1962-04-28,1.220
1962-04-29,1.130
1962-04-30,1.130
1962-05-01,1.130
1962-05-02,1.100
1962-05-03,1.080
1962-05-04,1.050
1962-05-05,1.080
1962-05-06,1.050
1962-05-07,1.020
1962-05-08,0.991
1962-05-09,0.963
1962-05-10,1.080
1962-05-11,0.849
1962-05-12,0.849
1962-05-13,0.821
1962-05-14,0.793
1962-05-15,0.736
1962-05-16,0.765
1962-05-17,0.736
1962-05-18,0.765
1962-05-19,0.849
1962-05-20,0.849
1962-05-21,1.050
1962-05-22,0.849
1962-05-23,0.736
1962-05-24,0.680
1962-05-25,0.708
1962-05-26,0.708
1962-05-27,0.708
1962-05-28,0.680
1962-05-29,0.680
1962-05-30,0.651
1962-05-31,0.623
1962-06-01,0.595
1962-06-02,0.566
1962-06-03,0.566
1962-06-04,0.566
1962-06-05,0.566
1962-06-06,0.566
1962-06-07,0.538
1962-06-08,0.538
1962-06-09,0.538
1962-06-10,0.510
1962-06-11,0.538
1962-06-12,0.566
1962-06-13,0.538
1962-06-14,0.510
1962-06-15,0.481
1962-06-16,0.481
1962-06-17,0.453
1962-06-18,0.481
1962-06-19,0.481
1962-06-20,0.481
1962-06-21,0.453
1962-06-22,0.453
1962-06-23,0.425
1962-06-24,0.396
1962-06-25,0.425
1962-06-26,0.453
1962-06-27,0.425
1962-06-28,0.425
1962-06-29,0.368
1962-06-30,0.368
1962-07-01,0.340
1962-07-02,0.340
1962-07-03,0.340
1962-07-04,0.340
1962-07-05,0.340
1962-07-06,0.340
1962-07-07,0.340
1962-07-08,0.340
1962-07-09,0.340
1962-07-10,0.340
1962-07-11,0.368
1962-07-12,0.396
1962-07-13,0.340
1962-07-14,0.340
1962-07-15,0.340
